[2024-04-18 22:21:40,573] INFO _log() L224   * Restarting with watchdog (windowsapi) - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:40:24,289] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:40:24] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:40:25,123] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:40:25] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:41:01,960] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:41:01] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:41:03,328] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:41:03] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:41:33,189] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:41:33] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:41:34,401] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:41:34] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:41:34,907] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:41:34] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:41:35,268] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:41:35] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:41:35,479] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:41:35] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:55:01,127] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:55:01] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:55:21,309] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:55:21] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
